name,avg_price,car_info
BMW 518 1993 г.,1 169 157 ₸,"Город
Астана
Поколение
1988 - 1996 E34
Кузов
седан
Объем двигателя, л
1.8 (бензин)
Пробег
333 333 км
Коробка передач
механика
Привод
задний привод
Руль
слева
Цвет
серебристый металлик
Растаможен в Казахстане
Да"
BYD Yuan 2023 г.,12 000 000 ₸,"Наличие 
На заказ
Город
Алматы
Поколение
2018 - н.в. 1 поколение
Кузов
кроссовер
Двигатель
электрический
Коробка передач
автомат
Привод
передний привод
Руль
слева
Растаможен в Казахстане
Нет"
BYD Song 2023 г.,15 504 000 ₸,"Наличие 
На заказ
Город
Алматы
Поколение
2019 - н.в. 1 поколение рестайлинг
Кузов
кроссовер
Двигатель
электрический
Коробка передач
автомат
Привод
полный привод
Руль
слева
Растаможен в Казахстане
Нет"
BYD 2022 г.,17 000 000 ₸,"Наличие 
На заказ
Город
Алматы
Поколение
2019 - н.в. 1 поколение рестайлинг
Кузов
кроссовер
Двигатель
электрический
Коробка передач
автомат
Привод
передний привод
Руль
слева
Цвет
белый металлик
Растаможен в Казахстане
Да"
BYD Yuan 2023 г.,16 500 000 ₸,"Город
Алматы
Поколение
2018 - н.в. 1 поколение
Кузов
кроссовер
Двигатель
электрический
Пробег
200 км
Коробка передач
автомат
Привод
передний привод
Руль
слева
Растаможен в Казахстане
Да"
BYD Han 2022 г.,25 000 000 ₸,"Город
Алматы
Поколение
2020 - н.в. 1 поколение
Кузов
седан
Двигатель
электрический
Пробег
100 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
синий
Растаможен в Казахстане
Да"
BYD Yuan 2022 г.,15 020 000 ₸,"Город
Алматы
Поколение
2018 - н.в. 1 поколение
Кузов
кроссовер
Двигатель
электрический
Коробка передач
автомат
Привод
передний привод
Руль
слева
Цвет
голубой металлик
Растаможен в Казахстане
Да"
BYD Tang Top 2023 г.,26 500 000 ₸,"Наличие 
На заказ
Город
Алматы
Поколение
2018 - н.в. 1 поколение
Кузов
кроссовер
Двигатель
электрический
Коробка передач
автомат
Привод
передний привод
Руль
слева
Цвет
черный
Растаможен в Казахстане
Да"
BYD Song 2023 г.,14 490 000 ₸,"Наличие 
На заказ
Город
Алматы
Поколение
2019 - н.в. 1 поколение рестайлинг
Кузов
кроссовер
Двигатель
электрический
Коробка передач
автомат
Привод
полный привод
Руль
слева
Растаможен в Казахстане
Нет"
BYD Han Top 2022 г.,22 000 000 ₸,"Город
Алматы
Поколение
2020 - н.в. 1 поколение
Кузов
седан
Двигатель
электрический
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
черный
Растаможен в Казахстане
Нет"
BYD 2022 г.,17 300 000 ₸,"Город
Астана
Поколение
2019 - н.в. 1 поколение рестайлинг
Кузов
кроссовер
Двигатель
электрический
Пробег
500 км
Коробка передач
автомат
Привод
передний привод
Руль
слева
Цвет
черный металлик
Растаможен в Казахстане
Да"
BYD Tang Top 2022 г.,29 900 000 ₸,"Город
Алматы
Поколение
2018 - н.в. 1 поколение
Кузов
кроссовер
Двигатель
электрический
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
белый металлик
Растаможен в Казахстане
Да"
BYD Tang 2023 г.,21 487 500 ₸,"Наличие 
На заказ
Город
Алматы
Поколение
2018 - н.в. 1 поколение
Кузов
кроссовер
Двигатель
электрический
Коробка передач
автомат
Привод
передний привод
Руль
слева
Растаможен в Казахстане
Нет"
BYD Han 2023 г.,19 900 000 ₸,"Город
Алматы
Поколение
2020 - н.в. 1 поколение
Кузов
седан
Двигатель
электрический
Пробег
300 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
черный
Растаможен в Казахстане
Да"
BYD Song 2023 г.,13 365 000 ₸,"Наличие 
На заказ
Город
Алматы
Поколение
2019 - н.в. 1 поколение рестайлинг
Кузов
кроссовер
Двигатель
электрический
Коробка передач
автомат
Привод
задний привод
Руль
слева
Растаможен в Казахстане
Нет"
BYD Song 2023 г.,14 300 000 ₸,"Наличие 
На заказ
Город
Алматы
Поколение
2019 - н.в. 1 поколение рестайлинг
Кузов
кроссовер
Двигатель
электрический
Коробка передач
автомат
Привод
задний привод
Руль
слева
Растаможен в Казахстане
Нет"
BYD Yuan 2022 г.,15 500 000 ₸,"Город
Алматы
Поколение
2018 - н.в. 1 поколение
Кузов
кроссовер
Двигатель
электрический
Коробка передач
автомат
Привод
передний привод
Руль
слева
Растаможен в Казахстане
Да"
BYD Han 2022 г.,21 500 000 ₸,"Город
Алматы
Поколение
2020 - н.в. 1 поколение
Кузов
седан
Двигатель
электрический
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
красный
Растаможен в Казахстане
Да"
BYD Han 2022 г.,23 735 454 ₸,"Город
Алматы
Поколение
2020 - н.в. 1 поколение
Кузов
седан
Двигатель
электрический
Пробег
370 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
черный
Растаможен в Казахстане
Да"
